"filename", "language", "JSON", "PHP", "comment", "blank", "total"
"c:\Users\juanj\OneDrive\Documentos\whis-core\src\Server\PhpNativeServer.php", "PHP", 0, 89, 22, 22, 133
"c:\Users\juanj\OneDrive\Documentos\whis-core\src\Server\Server.php", "PHP", 0, 9, 11, 6, 26
"c:\Users\juanj\OneDrive\Documentos\whis-core\src\Session\PhpNativeSessionStorage.php", "PHP", 0, 40, 0, 11, 51
"c:\Users\juanj\OneDrive\Documentos\whis-core\src\Session\Session.php", "PHP", 0, 61, 0, 14, 75
"c:\Users\juanj\OneDrive\Documentos\whis-core\src\Session\SessionStorage.php", "PHP", 0, 13, 0, 10, 23
"c:\Users\juanj\OneDrive\Documentos\whis-core\src\Storage\Drivers\DiskFileStorage.php", "PHP", 0, 47, 0, 14, 61
"c:\Users\juanj\OneDrive\Documentos\whis-core\src\Storage\Drivers\FileStorageDriver.php", "PHP", 0, 7, 0, 5, 12
"c:\Users\juanj\OneDrive\Documentos\whis-core\src\Storage\File.php", "PHP", 0, 45, 22, 11, 78
"c:\Users\juanj\OneDrive\Documentos\whis-core\src\Storage\FileResponder.php", "PHP", 0, 118, 0, 28, 146
"c:\Users\juanj\OneDrive\Documentos\whis-core\src\Storage\Storage.php", "PHP", 0, 45, 13, 10, 68
"c:\Users\juanj\OneDrive\Documentos\whis-core\src\Validation\Exceptions\RuleParseException.php", "PHP", 0, 6, 0, 4, 10
"c:\Users\juanj\OneDrive\Documentos\whis-core\src\Validation\Exceptions\UnknownRuleException.php", "PHP", 0, 6, 0, 5, 11
"c:\Users\juanj\OneDrive\Documentos\whis-core\src\Validation\Exceptions\ValidationException.php", "PHP", 0, 15, 3, 5, 23
"c:\Users\juanj\OneDrive\Documentos\whis-core\src\Validation\Rule.php", "PHP", 0, 104, 1, 23, 128
"c:\Users\juanj\OneDrive\Documentos\whis-core\src\Validation\Rules\EmailRule.php", "PHP", 0, 17, 11, 10, 38
"c:\Users\juanj\OneDrive\Documentos\whis-core\src\Validation\Rules\FiletypeRule.php", "PHP", 0, 38, 0, 6, 44
"c:\Users\juanj\OneDrive\Documentos\whis-core\src\Validation\Rules\LessThanRule.php", "PHP", 0, 22, 0, 6, 28
"c:\Users\juanj\OneDrive\Documentos\whis-core\src\Validation\Rules\NumberRule.php", "PHP", 0, 16, 0, 4, 20
"c:\Users\juanj\OneDrive\Documentos\whis-core\src\Validation\Rules\RequiredRule.php", "PHP", 0, 16, 0, 3, 19
"c:\Users\juanj\OneDrive\Documentos\whis-core\src\Validation\Rules\RequiredWhenRule.php", "PHP", 0, 34, 7, 8, 49
"c:\Users\juanj\OneDrive\Documentos\whis-core\src\Validation\Rules\RequiredWithRule.php", "PHP", 0, 21, 0, 6, 27
"c:\Users\juanj\OneDrive\Documentos\whis-core\src\Validation\Rules\ValidationRule.php", "PHP", 0, 7, 0, 4, 11
"c:\Users\juanj\OneDrive\Documentos\whis-core\src\Validation\Validator.php", "PHP", 0, 51, 11, 9, 71
"c:\Users\juanj\OneDrive\Documentos\whis-core\src\View\RinzlerEngine.php", "PHP", 0, 35, 7, 13, 55
"c:\Users\juanj\OneDrive\Documentos\whis-core\src\View\StencilEngine.php", "PHP", 0, 162, 7, 26, 195
"c:\Users\juanj\OneDrive\Documentos\whis-core\src\View\ViewEngine.php", "PHP", 0, 6, 7, 3, 16
"Total", "-", 47, 2684, 705, 717, 4153
